8
選	가릴 선
鮮	고울 선
說	말씀 설
說	달랠 세
說	기쁠 열
性	성품 성
歲	해 세
洗	씻을 세
束	묶을 속
首	머리 수
宿	잘 숙
宿	별자리 수
順	순할 순
示	보일 시
識	알 식
識	기록할 지
臣	신하 신
實	열매 실
兒	아이 아
惡	악할 악
惡	미워할 오
案	책상 안
約	맺을 약
養	기를 양
漁	고기잡을 어
魚	고기 어
億	억 억
熱	더울 열
葉	입 엽
屋	집 옥
完	완전할 완
曜	빛날 요
要	요긴할 요
浴	목욕할 욕
友	벗 우
牛	소 우
雨	비 우
雲	구름 운
雄	수컷 웅
元	으뜸 원
原	언덕 원
院	집 원
願	원할 원
位	자리 위
偉	클 위
以	써 이
耳	귀 이
因	인할 인
任	맡길 임
再	두 재
材	재목 재
災	재앙 재
財	재물 재
爭	다툴 쟁
貯	쌓을 저
的	과녁 적
赤	붉을 적
傳	전할 전
典	법 전
展	펼 전
切	끊을 절
切	온통 체
節	마디 절
店	가게 점
停	머무를 정
情	뜻 정
操	잡을 조
調	고를 조
卒	마칠 졸
種	씨 종
終	마칠 종
罪	허물 죄
州	고을 주
週	주일 주
止	그칠 지
知	알 지
質	바탕 질
着	붙을 착
參	참여할 참
參	석 삼
唱	부를 창
責	꾸짖을 책
鐵	쇠 철
初	처음 초
最	가장 최
祝	빌 축
充	채울 충
致	이를 치
則	법칙 칙
則	곧 즉
他	다를 타
打	칠 타
卓	높을 탁
炭	숯 탄
宅	집 택 / 집 댁
板	널 판
敗	패할 패
品	물건 품
必	반드시 필
筆	붓 필
河	물 하
寒	찰 한
害	해할 해
許	허락 허
湖	호수 호
化	될 화
患	근심 환
效	본받을 효
凶	흉할 흉
黑	검을 흑
준4
假	거짓 가
街	거리 가
減	덜 감
監	볼 감
康	편안 강
講	욀 강
個	낱 개
檢	검사할 검
潔	깨끗할 결
缺	이지러질 결
境	지경 경
慶	경사 경
經	글 경
經	지날 경
警	깨우칠 경
係	맬 계
故	연고 고
攻	칠 공
官	벼슬 관
句	글귀 구
求	구할 구
究	연구할 구
宮	집 궁
權	권세 권
極	다할 극
禁	금할 금
器	그릇 기
起	일어날 기
暖	따뜻할 난
難	어려울 난
努	힘쓸 노
怒	성낼 노
單	홑 단
單	흉노임금 선
斷	끊을 단
檀	박달나무 단
端	끝 단
達	통달할 달
擔	멜 담
黨	무리 당
帶	띠 대
隊	무리 대
導	인도할 도
毒	독 독
督	감독할 독
銅	구리 동
斗	말 두
豆	콩 두
得	얻을 득
燈	등 등
羅	벌릴 라
兩	두 량
麗	고울 려
連	이을 련
列	벌일 렬
錄	기록할 록
論	논할 론
留	머무를 류
律	법칙 률
滿	찰 만
脈	줄기 맥
毛	털 모
牧	칠 목
務	힘쓸 무
武	호반 무
味	맛 미
未	아닐 미
密	빽빽할 밀
博	넓을 박
房	방 방
訪	찾을 방
防	막을 방
拜	절 배
背	등 배
配	짝 배
伐	칠 벌
罰	벌할 벌
壁	벽 벽
邊	가 변
保	지킬 보
報	갚을 보
報	알릴 보
寶	보배 보
步	걸음 보
副	버금 부
婦	며느리 부
富	부자 부
府	관청 부
復	다시 부
復	회복할 복
佛	부처 불
備	갖출 비
悲	슬플 비
非	아닐 비
飛	날 비
貧	가난할 빈
寺	절 사
寺	내시 시
師	스승 사
舍	집 사
謝	사례할 사
殺	감할 쇄
殺	죽일 살
常	떳떳할 상
床	상 상
想	생각 상
狀	문서 장
狀	형상 상
設	베풀 설
城	재 성
星	별 성
盛	성할 성
聖	성인 성
聲	소리 성
誠	정성 성
勢	형세 세
稅	세금 세
細	가늘 세
掃	쓸 소
笑	웃음 소
素	본디 소
俗	풍속 속
續	이을 속
送	보낼 송
修	닦을 수
受	받을 수
守	지킬 수
授	줄 수
收	거둘 수
純	순수할 순
承	이을 승
施	베풀 시
是	이 시
視	볼 시
試	시험 시
詩	시 시
息	쉴 식
申	납 신
深	깊을 심
眼	눈 안
暗	어두울 암
壓	누를 압
液	진 액
羊	양 양
如	같을 여
餘	남을 여
逆	거스릴 역
演	펼 연
煙	연기 연
硏	갈 연
榮	영화 영
藝	재주 예
誤	그르칠 오
玉	구슬 옥
往	갈 왕
謠	노래 요
容	얼굴 용
員	인원 원
圓	둥글 원
爲	할 위
衛	지킬 위
肉	고기 육
恩	은혜 은
陰	그늘 음
應	응할 응
義	옳을 의
議	의논할 의
移	옮길 이
益	더할 익
印	도장 인
引	끌 인
認	알 인
將	장수 장
障	막을 장
低	낮을 저
敵	대적할 적
田	밭 전
絶	끊을 절
接	이을 접
政	정사 정
程	길 정
精	정할 정
制	절제할 제
提	끌 제
濟	건널 제
祭	제사 제
製	지을 제
除	덜 제
際	즈음 제
助	도울 조
早	이를 조
造	지을 조
鳥	새 조
尊	높을 존
宗	마루 종
走	달릴 주
竹	대 죽
準	준할 준
衆	무리 중
增	더할 증
志	뜻 지
指	가리킬 지
支	지탱할 지
至	이를 지
職	직분 직
眞	참 진
進	나아갈 진
次	버금 차
讚	기릴 찬
察	살필 찰
創	비롯할 창
處	곳 처
請	청할 청
